method,rmse,models
Best10,14.305438600441608,"['H6:SNV+AsLS+siPLS+Huber+sqrt', 'H_e100:SNV+iPLS50+Huber(1.0)+sqrt', 'H_e105:SNV+iPLS50+Huber(1.05)+sqrt', 'M5:SNV+AsLS+siPLS+PLS5+sqrt', 'H2a:SNV+iPLS50+Huber(1.1)+sqrt', 'H_e115:SNV+iPLS50+Huber(1.15)+sqrt', 'N10:PMSC+siPLS+GBR+sqrt', 'M1:EPO+PLS4+sqrt', 'G9:SG2d+EPO+GBR+raw', 'N2:SNV+SG2d+GBR+raw']"
Best11,14.306311849322444,"['H6:SNV+AsLS+siPLS+Huber+sqrt', 'H_e100:SNV+iPLS50+Huber(1.0)+sqrt', 'H_e105:SNV+iPLS50+Huber(1.05)+sqrt', 'M5:SNV+AsLS+siPLS+PLS5+sqrt', 'H2a:SNV+iPLS50+Huber(1.1)+sqrt', 'H_e115:SNV+iPLS50+Huber(1.15)+sqrt', 'H_e120:SNV+iPLS50+Huber(1.2)+sqrt', 'N10:PMSC+siPLS+GBR+sqrt', 'M1:EPO+PLS4+sqrt', 'G9:SG2d+EPO+GBR+raw', 'N2:SNV+SG2d+GBR+raw']"
Best12,14.307131728102435,"['H6:SNV+AsLS+siPLS+Huber+sqrt', 'H_e100:SNV+iPLS50+Huber(1.0)+sqrt', 'H_e105:SNV+iPLS50+Huber(1.05)+sqrt', 'M5:SNV+AsLS+siPLS+PLS5+sqrt', 'H2a:SNV+iPLS50+Huber(1.1)+sqrt', 'H_e115:SNV+iPLS50+Huber(1.15)+sqrt', 'H_e120:SNV+iPLS50+Huber(1.2)+sqrt', 'N10:PMSC+siPLS+GBR+sqrt', 'M1:EPO+PLS4+sqrt', 'G9:SG2d+EPO+GBR+raw', 'G_pls6:SG2d+EPO+PLS6+GBR+raw', 'N2:SNV+SG2d+GBR+raw']"
Best8,14.324571914470905,"['H6:SNV+AsLS+siPLS+Huber+sqrt', 'H_e100:SNV+iPLS50+Huber(1.0)+sqrt', 'H_e105:SNV+iPLS50+Huber(1.05)+sqrt', 'M5:SNV+AsLS+siPLS+PLS5+sqrt', 'H2a:SNV+iPLS50+Huber(1.1)+sqrt', 'N10:PMSC+siPLS+GBR+sqrt', 'M1:EPO+PLS4+sqrt', 'G9:SG2d+EPO+GBR+raw']"
Best9,14.325251612617759,"['H6:SNV+AsLS+siPLS+Huber+sqrt', 'H_e100:SNV+iPLS50+Huber(1.0)+sqrt', 'H_e105:SNV+iPLS50+Huber(1.05)+sqrt', 'M5:SNV+AsLS+siPLS+PLS5+sqrt', 'H2a:SNV+iPLS50+Huber(1.1)+sqrt', 'H_e115:SNV+iPLS50+Huber(1.15)+sqrt', 'N10:PMSC+siPLS+GBR+sqrt', 'M1:EPO+PLS4+sqrt', 'G9:SG2d+EPO+GBR+raw']"
