method,rmse,models
Best10,14.097725272255342,"['H6:SNV+AsLS+siPLS+Huber+sqrt', 'M5:SNV+AsLS+siPLS+PLS5+sqrt', 'H2a:SNV+iPLS50+Huber(1.1)+sqrt', 'H2:SNV+iPLS50+Huber+sqrt', 'C1:SNV+iPLS50+PLS5+sqrt', 'N10:PMSC+siPLS+GBR+sqrt', 'M1:EPO+PLS4+sqrt', 'G9:SG2d+EPO+GBR+raw', 'N2:SNV+SG2d+GBR+raw', 'Gnew1:EPO+GBR150+raw']"
Best11,14.097726558093562,"['H5:PMSC+siPLS+Huber+sqrt', 'H6:SNV+AsLS+siPLS+Huber+sqrt', 'M5:SNV+AsLS+siPLS+PLS5+sqrt', 'H2a:SNV+iPLS50+Huber(1.1)+sqrt', 'H2:SNV+iPLS50+Huber+sqrt', 'C1:SNV+iPLS50+PLS5+sqrt', 'N10:PMSC+siPLS+GBR+sqrt', 'M1:EPO+PLS4+sqrt', 'G9:SG2d+EPO+GBR+raw', 'N2:SNV+SG2d+GBR+raw', 'Gnew1:EPO+GBR150+raw']"
Best12,14.103317570546352,"['H5:PMSC+siPLS+Huber+sqrt', 'H6:SNV+AsLS+siPLS+Huber+sqrt', 'M5:SNV+AsLS+siPLS+PLS5+sqrt', 'H2a:SNV+iPLS50+Huber(1.1)+sqrt', 'H2:SNV+iPLS50+Huber+sqrt', 'C1:SNV+iPLS50+PLS5+sqrt', 'M3:SNV+iPLS50+PLS4+sqrt', 'N10:PMSC+siPLS+GBR+sqrt', 'M1:EPO+PLS4+sqrt', 'G9:SG2d+EPO+GBR+raw', 'N2:SNV+SG2d+GBR+raw', 'Gnew1:EPO+GBR150+raw']"
Best9,14.126567911380237,"['H5:PMSC+siPLS+Huber+sqrt', 'H6:SNV+AsLS+siPLS+Huber+sqrt', 'M5:SNV+AsLS+siPLS+PLS5+sqrt', 'H2a:SNV+iPLS50+Huber(1.1)+sqrt', 'H2:SNV+iPLS50+Huber+sqrt', 'N10:PMSC+siPLS+GBR+sqrt', 'M1:EPO+PLS4+sqrt', 'G9:SG2d+EPO+GBR+raw', 'Gnew1:EPO+GBR150+raw']"
Best8,14.126570825468495,"['H6:SNV+AsLS+siPLS+Huber+sqrt', 'M5:SNV+AsLS+siPLS+PLS5+sqrt', 'H2a:SNV+iPLS50+Huber(1.1)+sqrt', 'H2:SNV+iPLS50+Huber+sqrt', 'N10:PMSC+siPLS+GBR+sqrt', 'M1:EPO+PLS4+sqrt', 'G9:SG2d+EPO+GBR+raw', 'Gnew1:EPO+GBR150+raw']"
