method,rmse,models
BestCombo7-W,14.664237915379296,"['H5:PMSC+siPLS+Huber(1.35)+sqrt', 'H6:SNV+AsLS+siPLS+Huber(1.35)+sqrt', 'H2a:SNV+iPLS50+Huber(1.1)+sqrt', 'H9:SNV+iPLS50+Huber(1.35,a1)+sqrt', 'N10:PMSC+siPLS+GBR+sqrt', 'H3:EPO+Huber(1.35)+sqrt', 'M1:EPO+PLS4+sqrt']"
BestCombo8-W,14.664247873612263,"['H5:PMSC+siPLS+Huber(1.35)+sqrt', 'H6:SNV+AsLS+siPLS+Huber(1.35)+sqrt', 'H2a:SNV+iPLS50+Huber(1.1)+sqrt', 'H9:SNV+iPLS50+Huber(1.35,a1)+sqrt', 'H2:SNV+iPLS50+Huber(1.35)+sqrt', 'N10:PMSC+siPLS+GBR+sqrt', 'H3:EPO+Huber(1.35)+sqrt', 'M1:EPO+PLS4+sqrt']"
BestCombo9-W,14.664409091487471,"['H5:PMSC+siPLS+Huber(1.35)+sqrt', 'H6:SNV+AsLS+siPLS+Huber(1.35)+sqrt', 'M5:SNV+AsLS+siPLS+PLS5+sqrt', 'H2a:SNV+iPLS50+Huber(1.1)+sqrt', 'H9:SNV+iPLS50+Huber(1.35,a1)+sqrt', 'H2:SNV+iPLS50+Huber(1.35)+sqrt', 'N10:PMSC+siPLS+GBR+sqrt', 'H3:EPO+Huber(1.35)+sqrt', 'M1:EPO+PLS4+sqrt']"
BestCombo10-W,14.668654305693902,"['H5:PMSC+siPLS+Huber(1.35)+sqrt', 'H6:SNV+AsLS+siPLS+Huber(1.35)+sqrt', 'M5:SNV+AsLS+siPLS+PLS5+sqrt', 'H2a:SNV+iPLS50+Huber(1.1)+sqrt', 'H9:SNV+iPLS50+Huber(1.35,a1)+sqrt', 'H2:SNV+iPLS50+Huber(1.35)+sqrt', 'H8:SNV+iPLS50+Huber(1.35,a001)+sqrt', 'N10:PMSC+siPLS+GBR+sqrt', 'H3:EPO+Huber(1.35)+sqrt', 'M1:EPO+PLS4+sqrt']"
BestCombo11-W,14.668763653437889,"['H5:PMSC+siPLS+Huber(1.35)+sqrt', 'H6:SNV+AsLS+siPLS+Huber(1.35)+sqrt', 'M5:SNV+AsLS+siPLS+PLS5+sqrt', 'H2a:SNV+iPLS50+Huber(1.1)+sqrt', 'H9:SNV+iPLS50+Huber(1.35,a1)+sqrt', 'H2:SNV+iPLS50+Huber(1.35)+sqrt', 'H8:SNV+iPLS50+Huber(1.35,a001)+sqrt', 'H2b:SNV+iPLS50+Huber(1.5)+sqrt', 'N10:PMSC+siPLS+GBR+sqrt', 'H3:EPO+Huber(1.35)+sqrt', 'M1:EPO+PLS4+sqrt']"
