method,rmse,models
BestCombo8-Weighted,14.275132827119618,"['M5:SNV+AsLS+siPLS30_3+PLS5+sqrt', 'C1:SNV+iPLS50+PLS5+sqrt', 'M3:SNV+iPLS50+PLS4+sqrt', 'N10:PMSC+siPLS30_3+PLS4+GBR+sqrt', 'M1:EPO(1)+PLS4+sqrt', 'G9:SG2d+EPO+PLS4+GBR+raw', 'N2:SNV+SG2d+PLS4+GBR+raw', 'G11:EPO+PLS4+GBR+raw']"
BestCombo9-Weighted,14.295599343687421,"['M4:PMSC+siPLS30_3+PLS4+sqrt', 'M5:SNV+AsLS+siPLS30_3+PLS5+sqrt', 'C1:SNV+iPLS50+PLS5+sqrt', 'M3:SNV+iPLS50+PLS4+sqrt', 'N10:PMSC+siPLS30_3+PLS4+GBR+sqrt', 'M1:EPO(1)+PLS4+sqrt', 'N7:SG2d+EPO+PLS4+GBR300_2_003+raw', 'N2:SNV+SG2d+PLS4+GBR+raw', 'G11:EPO+PLS4+GBR+raw']"
BestCombo10-Weighted,14.335899753804984,"['M4:PMSC+siPLS30_3+PLS4+sqrt', 'M5:SNV+AsLS+siPLS30_3+PLS5+sqrt', 'C1:SNV+iPLS50+PLS5+sqrt', 'M3:SNV+iPLS50+PLS4+sqrt', 'N10:PMSC+siPLS30_3+PLS4+GBR+sqrt', 'M1:EPO(1)+PLS4+sqrt', 'N7:SG2d+EPO+PLS4+GBR300_2_003+raw', 'G9:SG2d+EPO+PLS4+GBR+raw', 'N3:PMSC+PLS4+GBR+raw', 'G11:EPO+PLS4+GBR+raw']"
BestCombo7-Weighted,14.338002844235044,"['M5:SNV+AsLS+siPLS30_3+PLS5+sqrt', 'C1:SNV+iPLS50+PLS5+sqrt', 'M3:SNV+iPLS50+PLS4+sqrt', 'N10:PMSC+siPLS30_3+PLS4+GBR+sqrt', 'M1:EPO(1)+PLS4+sqrt', 'G9:SG2d+EPO+PLS4+GBR+raw', 'G11:EPO+PLS4+GBR+raw']"
BestCombo6-Weighted,14.357907136287801,"['C1:SNV+iPLS50+PLS5+sqrt', 'M3:SNV+iPLS50+PLS4+sqrt', 'N10:PMSC+siPLS30_3+PLS4+GBR+sqrt', 'M1:EPO(1)+PLS4+sqrt', 'G9:SG2d+EPO+PLS4+GBR+raw', 'G11:EPO+PLS4+GBR+raw']"
BestCombo5-Weighted,14.395527334809618,"['M3:SNV+iPLS50+PLS4+sqrt', 'N10:PMSC+siPLS30_3+PLS4+GBR+sqrt', 'M1:EPO(1)+PLS4+sqrt', 'N5:SG2d+EPO+PLS3+GBR+raw', 'G11:EPO+PLS4+GBR+raw']"
Cycle5-Base,14.403370104314597,"['M1:EPO(1)+PLS4+sqrt', 'M3:SNV+iPLS50+PLS4+sqrt', 'M4:PMSC+siPLS30_3+PLS4+sqrt', 'M5:SNV+AsLS+siPLS30_3+PLS5+sqrt', 'G9:SG2d+EPO+PLS4+GBR+raw', 'G11:EPO+PLS4+GBR+raw', 'G3:EPO+PLS4+GBR500_2_001+sqrt']"
